Basefrequencies
File	Clade	N taxa (informative)	p(A)	p(V)	p(L)	p(I)	p(P)	p(M)	p(F)	p(W)	p(G)	p(S)	p(T)	p(C)	p(N)	p(Q)	p(Y)	p(D)	p(E)	p(K)	p(R)	p(H)	p(Hydrophobic)	p(Hydrophilic)	p(Polar)	p(Nonpolar)	p(Positive)	p(Neutral)	p(Negative)	RCFV Value	csRCFV (A)	csRCFV (V)	csRCFV (L)	csRCFV (I)	csRCFV (P)	csRCFV (M)	csRCFV (F)	csRCFV (W)	csRCFV (G)	csRCFV (S)	csRCFV (T)	csRCFV (C)	csRCFV (N)	csRCFV (Q)	csRCFV (Y)	csRCFV (D)	csRCFV (E)	csRCFV (K)	csRCFV (R)	csRCFV (H)	csRCFV (Hydrophobic)	csRCFV (Hydrophilic)	csRCFV (Polar)	csRCFV (Nonpolar)	csRCFV (Positive)	csRCFV (Neutral)	csRCFV (Negative)	Chi-square value	Degrees of freedom	p-value	p(sites)	p(Gap) [-]	p(Ambiguity) [X]	p(Missing Data) [?]	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(state)	p_inv(structure)	p_inv(polarity)	p_inv(charge)
Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned.phy	0 All_Taxa	70	0.0700	0.0203	0.0529	0.0519	0.0369	0.0371	0.0558	0.0131	0.0634	0.0627	0.0261	0.0532	0.0736	0.0256	0.0624	0.0624	0.1065	0.0386	0.0484	0.0391	0.3657	0.6343	0.5078	0.4922	0.1185	0.7659	0.1156	0.0524	0.0068	0.0012	0.0018	0.0018	0.0031	0.0015	0.0035	0.0007	0.0032	0.0056	0.0012	0.0017	0.0031	0.0010	0.0052	0.0021	0.0034	0.0016	0.0021	0.0016	0.0063	0.0063	0.0084	0.0084	0.0034	0.0063	0.0031	14032.42091	1311	0	0.6193	0.1212	0.2594	0.0000	0.0579	0.1779	0.3807	0.0000	0.0000	0.0000	0.0000
Gene_0007	0 All_Taxa	63	0.0651	0.0259	0.0787	0.0629	0.0571	0.0190	0.0460	0.0043	0.0832	0.0220	0.0173	0.0538	0.1149	0.0215	0.0586	0.0709	0.1054	0.0357	0.0306	0.0270	0.3084	0.6916	0.4980	0.5020	0.0681	0.8073	0.1247	0.104	0.0070	0.0046	0.0053	0.0059	0.0050	0.0037	0.0044	0.0005	0.0074	0.0072	0.0042	0.0056	0.0092	0.0034	0.0078	0.0054	0.0067	0.0045	0.0038	0.0025	0.0100	0.0100	0.0085	0.0085	0.0051	0.0067	0.0053	342.037460000001	1178	1.00000	0.9429	0.0571	0.0000	0.0000	0.0813	0.0000	0.1514	0.0424	0.0975	0.0932	0.1186
Gene_0016	0 All_Taxa	53	0.0901	0.0183	0.0776	0.0551	0.0419	0.0388	0.0464	0.0069	0.0578	0.0437	0.0328	0.0523	0.0556	0.0350	0.0624	0.0586	0.0966	0.0382	0.0382	0.0536	0.3806	0.6194	0.4862	0.5138	0.0901	0.7990	0.1108	0.0788	0.0070	0.0029	0.0042	0.0045	0.0029	0.0026	0.0031	0.0013	0.0056	0.0046	0.0034	0.0040	0.0044	0.0034	0.0055	0.0039	0.0053	0.0036	0.0032	0.0032	0.0094	0.0094	0.0093	0.0093	0.0041	0.0066	0.0046	596.55628	988	1.00000	0.8748	0.1250	0.0001	0.0000	0.1288	0.0002	0.3377	0.0171	0.0382	0.0382	0.0592
Gene_0017	0 All_Taxa	59	0.0655	0.0200	0.0453	0.0566	0.0432	0.0327	0.0781	0.0194	0.0765	0.0762	0.0278	0.0602	0.0730	0.0397	0.0559	0.0517	0.0712	0.0228	0.0413	0.0431	0.3242	0.6758	0.5575	0.4425	0.1543	0.7338	0.1119	0.1226	0.0077	0.0043	0.0051	0.0076	0.0060	0.0056	0.0087	0.0022	0.0083	0.0084	0.0047	0.0043	0.0096	0.0051	0.0084	0.0057	0.0065	0.0053	0.0048	0.0044	0.0105	0.0105	0.0150	0.0150	0.0105	0.0122	0.0062	685.058299999999	1102	1.00000	0.8889	0.1111	0.0000	0.0000	0.1394	0.0000	0.2508	0.0000	0.0000	0.0000	0.0026
Gene_0020	0 All_Taxa	53	0.0647	0.0181	0.0495	0.0569	0.0352	0.0343	0.0525	0.0065	0.0771	0.0631	0.0248	0.0500	0.0673	0.0244	0.0596	0.0597	0.1387	0.0459	0.0391	0.0327	0.3661	0.6339	0.5171	0.4829	0.1156	0.7748	0.1096	0.0971	0.0093	0.0033	0.0034	0.0067	0.0048	0.0021	0.0056	0.0011	0.0061	0.0077	0.0041	0.0033	0.0063	0.0032	0.0091	0.0033	0.0084	0.0039	0.0024	0.0030	0.0095	0.0095	0.0089	0.0089	0.0053	0.0067	0.0034	714.93432	988	1.00000	0.8088	0.1912	0.0000	0.0000	0.1883	0.0000	0.3876	0.0082	0.0204	0.0272	0.0300
Gene_0030	0 All_Taxa	37	0.0737	0.0195	0.0566	0.0569	0.0342	0.0425	0.0561	0.0264	0.0719	0.0532	0.0361	0.0528	0.0682	0.0257	0.0481	0.0561	0.1045	0.0423	0.0401	0.0352	0.3641	0.6359	0.5111	0.4889	0.1093	0.7818	0.1089	0.0874	0.0076	0.0023	0.0043	0.0041	0.0036	0.0035	0.0053	0.0019	0.0059	0.0067	0.0039	0.0043	0.0055	0.0027	0.0052	0.0041	0.0049	0.0045	0.0039	0.0033	0.0100	0.0100	0.0091	0.0091	0.0053	0.0073	0.0055	581.15493	684	0.99822	0.7621	0.2379	0.0000	0.0000	0.1381	0.0000	0.5972	0.0000	0.0050	0.0083	0.0100
Gene_0035	0 All_Taxa	52	0.0672	0.0170	0.0536	0.0407	0.0417	0.0344	0.0621	0.0152	0.0654	0.0571	0.0266	0.0479	0.0768	0.0389	0.0604	0.0667	0.0892	0.0464	0.0500	0.0425	0.3511	0.6489	0.5184	0.4816	0.1192	0.7662	0.1146	0.0838	0.0060	0.0026	0.0038	0.0034	0.0050	0.0029	0.0046	0.0017	0.0051	0.0048	0.0035	0.0034	0.0065	0.0033	0.0066	0.0047	0.0048	0.0041	0.0028	0.0040	0.0073	0.0073	0.0070	0.0070	0.0055	0.0079	0.0049	566.03418	969	1.00000	0.8601	0.1399	0.0000	0.0000	0.1531	0.0000	0.3610	0.0220	0.0288	0.0288	0.0440
Gene_0037	0 All_Taxa	51	0.0781	0.0113	0.0436	0.0459	0.0383	0.0377	0.0511	0.0107	0.0626	0.0910	0.0251	0.0554	0.0639	0.0304	0.0699	0.0711	0.1047	0.0483	0.0338	0.0270	0.3493	0.6507	0.5431	0.4569	0.1421	0.7315	0.1265	0.1472	0.0131	0.0038	0.0070	0.0069	0.0066	0.0063	0.0070	0.0038	0.0089	0.0083	0.0049	0.0059	0.0068	0.0039	0.0102	0.0090	0.0149	0.0089	0.0063	0.0047	0.0118	0.0118	0.0174	0.0174	0.0083	0.0135	0.0101	832.204539999999	950	0.99750	0.6731	0.3269	0.0000	0.0000	0.2225	0.0000	0.5096	0.0000	0.0058	0.0116	0.0212
Gene_0041	0 All_Taxa	54	0.0905	0.0043	0.0571	0.0451	0.0286	0.0315	0.0617	0.0326	0.0908	0.0334	0.0268	0.0253	0.0836	0.0245	0.0595	0.0382	0.1178	0.0379	0.0670	0.0436	0.4377	0.5623	0.4215	0.5785	0.0952	0.8413	0.0636	0.1823	0.0103	0.0031	0.0091	0.0096	0.0082	0.0071	0.0126	0.0059	0.0101	0.0110	0.0074	0.0052	0.0160	0.0059	0.0127	0.0078	0.0154	0.0085	0.0077	0.0088	0.0189	0.0189	0.0168	0.0168	0.0091	0.0141	0.0082	822.515840000001	1007	0.99999	0.9220	0.0779	0.0001	0.0000	0.0537	0.0002	0.2887	0.0000	0.0114	0.0114	0.0341
Gene_0044	0 All_Taxa	43	0.0934	0.0314	0.0892	0.0548	0.0569	0.0296	0.0521	0.0000	0.0614	0.0608	0.0272	0.0877	0.0706	0.0159	0.0736	0.0512	0.0575	0.0389	0.0293	0.0186	0.2996	0.7004	0.5406	0.4594	0.1128	0.7483	0.1389	0.1478	0.0095	0.0060	0.0072	0.0088	0.0079	0.0070	0.0077	0.0000	0.0113	0.0071	0.0042	0.0057	0.0118	0.0032	0.0136	0.0069	0.0101	0.0067	0.0086	0.0044	0.0144	0.0144	0.0131	0.0131	0.0052	0.0066	0.0049	328.48141	798	1.00000	0.9592	0.0408	0.0000	0.0000	0.0211	0.0000	0.4108	0.0988	0.2346	0.2963	0.3580
